trajectory_index,horizontal_mm,vertical_mm,turnaround
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,1,0
8,0,0,0
9,0,-1,0
10,1,-4,0
11,4,-14,0
12,9,-26,0
13,14,-36,0
14,22,-47,0
15,29,-57,0
16,35,-65,0
17,41,-75,0
18,44,-86,0
19,46,-97,0
20,48,-107,0
21,51,-118,0
22,52,-129,0
23,53,-139,0
24,54,-149,0
25,54,-159,0
26,55,-167,0
27,55,-176,0
28,56,-185,0
29,56,-193,0
30,56,-200,0
31,55,-209,0
32,54,-218,0
33,53,-225,0
34,53,-234,0
35,53,-241,0
36,52,-247,0
37,52,-253,0
38,50,-261,0
39,48,-270,0
40,47,-276,0
41,47,-282,0
42,47,-285,0
43,47,-287,0
44,46,-289,0
45,44,-290,1
46,43,-289,0
47,42,-289,0
48,41,-288,0
49,41,-287,0
50,40,-287,0
51,40,-286,0
52,40,-285,0
53,39,-283,0
54,36,-281,0
55,33,-280,0
56,29,-277,0
57,24,-275,0
58,20,-272,0
59,14,-268,0
60,9,-262,0
61,5,-254,0
62,2,-246,0
63,-1,-235,0
64,-4,-224,0
65,-5,-213,0
66,-5,-199,0
67,-5,-184,0
68,-4,-169,0
69,-2,-156,0
70,1,-140,0
71,5,-124,0
72,11,-108,0
73,16,-94,0
74,23,-78,0
75,30,-61,0
76,37,-48,0
77,46,-31,0
78,55,-15,0
79,64,0,0
80,71,12,0
81,78,24,0
82,85,34,0
83,90,40,0
84,95,46,0
85,99,49,0
86,102,50,0
87,104,50,0
88,106,50,0
89,109,50,0
90,111,50,0
91,112,49,0
92,113,48,0
93,114,48,0
94,115,48,0
95,116,48,0
96,116,47,0
97,116,47,0
98,116,47,0
99,116,47,0
