Qw,Qx,Qy,Qz,Ax,Ay,Az,Seq,timestamp_ms
0.000000,0.069336,-0.041626,-0.996704,-162,70,974,0,858760
0.000000,0.068787,-0.041748,-0.996704,-147,66,986,1,858764
0.000000,0.068176,-0.041809,-0.996765,-128,61,995,2,858772
0.000000,0.067444,-0.041748,-0.996826,-118,59,995,3,858781
0.000000,0.066650,-0.041687,-0.996887,-118,57,1000,4,858790
0.000000,0.065979,-0.041565,-0.996948,-122,58,1000,5,858797
0.000000,0.065491,-0.041565,-0.996948,-131,64,997,6,858806
0.000000,0.065125,-0.041626,-0.996948,-132,67,1001,7,858814
0.000000,0.064941,-0.041809,-0.996948,-132,66,994,8,858823
0.000000,0.064880,-0.041931,-0.996948,-134,63,997,9,858831
0.000000,0.064880,-0.042114,-0.996948,-129,63,997,10,858839
0.000000,0.065063,-0.042236,-0.996948,-138,68,999,11,858847
0.000000,0.065369,-0.042419,-0.996948,-149,77,998,12,858856
0.000000,0.065613,-0.042480,-0.996887,-153,82,999,13,858864
0.000000,0.065857,-0.042603,-0.996887,-152,86,1003,14,858873
0.000000,0.066101,-0.042603,-0.996887,-152,86,1002,15,858880
0.000000,0.066284,-0.042542,-0.996887,-147,83,998,16,858889
0.000000,0.066650,-0.042480,-0.996826,-142,80,991,17,858898
0.000000,0.067139,-0.042419,-0.996826,-140,77,994,18,858906
0.021118,0.067688,-0.042358,-0.996582,-138,75,996,19,858915
0.020142,0.068115,-0.042175,-0.996582,-141,74,997,20,858922
0.019226,0.068481,-0.041992,-0.996582,-138,73,1000,21,858931
0.018372,0.068848,-0.041748,-0.996582,-138,75,1005,22,858939
0.017456,0.069214,-0.041565,-0.996582,-138,75,1001,23,858948
0.016479,0.069580,-0.041321,-0.996582,-144,77,994,24,858956
0.015259,0.069946,-0.041199,-0.996582,-149,78,987,25,858964
0.013672,0.070374,-0.041016,-0.996582,-147,83,993,26,858973
0.011902,0.070740,-0.040955,-0.996582,-153,88,1002,27,858981
0.011047,0.070984,-0.040771,-0.996582,-150,89,996,28,858990
0.010986,0.071106,-0.040588,-0.996582,-141,81,991,29,858998
0.032776,0.071350,-0.040344,-0.996094,-136,75,981,30,859006
0.032227,0.071716,-0.040161,-0.996094,-141,76,975,31,859014
0.031433,0.072144,-0.040039,-0.996094,-143,77,977,32,859023
0.030640,0.072571,-0.039856,-0.996094,-141,77,986,33,859032
0.030029,0.072937,-0.039673,-0.996094,-140,73,983,34,859040
0.029724,0.073181,-0.039429,-0.996094,-132,68,981,35,859048
0.029114,0.073547,-0.039185,-0.996094,-137,66,983,36,859056
0.028870,0.073792,-0.038940,-0.996094,-137,63,981,37,859065
0.028687,0.074036,-0.038574,-0.996094,-139,57,975,38,859073
0.042175,0.074341,-0.038208,-0.995605,-138,53,961,39,859082
0.041626,0.074829,-0.037903,-0.995605,-138,55,951,40,859089
0.041016,0.075317,-0.037598,-0.995605,-152,62,962,41,859098
0.040161,0.075928,-0.037231,-0.995605,-157,66,976,42,859107
0.039429,0.076538,-0.036804,-0.995605,-160,64,987,43,859115
0.038818,0.077148,-0.036194,-0.995605,-161,60,978,44,859124
0.049133,0.077881,-0.035522,-0.995117,-158,57,959,45,859132
0.048035,0.078796,-0.034912,-0.995117,-160,54,949,46,859140
0.046814,0.079834,-0.034302,-0.995117,-165,52,953,47,859149
0.045044,0.081055,-0.033752,-0.995117,-172,58,954,48,859157
0.053040,0.082397,-0.033264,-0.994629,-184,65,968,49,859166
0.051025,0.083801,-0.032898,-0.994629,-184,71,977,50,859173
0.049011,0.085083,-0.032654,-0.994629,-185,71,981,51,859182
0.047729,0.085938,-0.032349,-0.994629,-172,66,990,52,859190
0.055725,0.086792,-0.032288,-0.994141,-168,68,995,53,859199
0.054626,0.087524,-0.032166,-0.994141,-173,76,998,54,859207
0.053101,0.088440,-0.032227,-0.994141,-176,86,1013,55,859215
0.051758,0.089233,-0.032288,-0.994141,-185,96,1029,56,859223
0.050110,0.090088,-0.032471,-0.994141,-183,101,1028,57,859232
0.049011,0.090698,-0.032471,-0.994141,-177,102,1035,58,859240
0.057434,0.091064,-0.032593,-0.993652,-165,101,1034,59,859249
0.056885,0.091370,-0.032654,-0.993652,-163,104,1038,60,859256
0.056396,0.091614,-0.032837,-0.993652,-157,106,1035,61,859265
0.055908,0.091736,-0.033325,-0.993652,-161,110,1029,62,859274
0.055237,0.091980,-0.033752,-0.993652,-162,112,1038,63,859283
0.054810,0.092102,-0.034119,-0.993652,-158,110,1048,64,859291
0.054932,0.091919,-0.034424,-0.993652,-157,109,1042,65,859299
0.055420,0.091431,-0.034912,-0.993652,-154,108,1025,66,859307
0.055847,0.090942,-0.035461,-0.993652,-159,108,1006,67,859316
0.056396,0.090393,-0.036072,-0.993652,-164,112,999,68,859324
0.056946,0.089783,-0.036743,-0.993652,-165,116,998,69,859333
0.057312,0.089233,-0.037476,-0.993652,-165,119,996,70,859340
0.057739,0.088623,-0.038269,-0.993652,-162,119,992,71,859349
0.058228,0.087952,-0.039062,-0.993652,-161,118,979,72,859357
0.058594,0.087341,-0.039856,-0.993652,-156,113,976,73,859366
0.050110,0.086731,-0.040588,-0.994141,-153,113,968,74,859375
0.050598,0.086121,-0.041321,-0.994141,-152,113,969,75,859382
0.050781,0.085632,-0.042053,-0.994141,-158,117,964,76,859391
0.050964,0.085144,-0.042786,-0.994141,-153,118,961,77,859399
0.051147,0.084717,-0.043396,-0.994141,-150,114,959,78,859408
0.051270,0.084351,-0.044006,-0.994141,-140,110,957,79,859416
0.051453,0.083984,-0.044495,-0.994141,-142,108,957,80,859424
0.051697,0.083618,-0.044922,-0.994141,-137,104,950,81,859432
0.051819,0.083313,-0.045349,-0.994141,-142,107,946,82,859441
0.051819,0.083069,-0.045715,-0.994141,-142,110,947,83,859449
0.051880,0.082825,-0.046143,-0.994141,-147,113,951,84,859458
0.052063,0.082520,-0.046509,-0.994141,-143,111,945,85,859465
0.052246,0.082214,-0.046814,-0.994141,-135,109,940,86,859475
0.052307,0.081970,-0.047180,-0.994141,-134,111,944,87,859483
0.052368,0.081726,-0.047546,-0.994141,-136,114,955,88,859492
0.052429,0.081482,-0.047852,-0.994141,-137,116,960,89,859500
0.052673,0.081177,-0.048157,-0.994141,-134,114,955,90,859508
0.053040,0.080750,-0.048401,-0.994141,-126,109,949,91,859516
0.053467,0.080322,-0.048645,-0.994141,-122,106,953,92,859525
0.053894,0.079895,-0.048950,-0.994141,-126,108,951,93,859533
0.053833,0.079712,-0.049316,-0.994141,-127,113,952,94,859541
0.053772,0.079529,-0.049622,-0.994141,-121,112,966,95,859549
0.053772,0.079285,-0.049988,-0.994141,-121,111,967,96,859558
0.053772,0.079102,-0.050293,-0.994141,-123,111,963,97,859566
0.053650,0.078979,-0.050598,-0.994141,-121,112,959,98,859575
0.053589,0.078796,-0.050964,-0.994141,-124,115,964,99,859583
0.053528,0.078613,-0.051331,-0.994141,-123,116,970,100,859591
0.053406,0.078491,-0.051636,-0.994141,-120,115,974,101,859600
0.053406,0.078308,-0.051880,-0.994141,-113,112,973,102,859608
0.053223,0.078186,-0.052246,-0.994141,-113,114,971,103,859617
0.052979,0.078125,-0.052612,-0.994141,-115,120,986,104,859625
0.052795,0.078003,-0.052979,-0.994141,-122,128,1001,105,859633
0.052551,0.077881,-0.053406,-0.994141,-132,135,1001,106,859641
0.052307,0.077759,-0.053833,-0.994141,-137,137,995,107,859650
0.051819,0.077698,-0.054382,-0.994141,-137,135,986,108,859659
0.051208,0.077698,-0.054993,-0.994141,-142,136,981,109,859666
0.050415,0.077698,-0.055664,-0.994141,-145,138,983,110,859675
0.049561,0.077698,-0.056458,-0.994141,-149,141,999,111,859683
0.048950,0.077515,-0.057190,-0.994141,-150,143,1004,112,859692
0.048584,0.077209,-0.057983,-0.994141,-147,142,1002,113,859701
0.048279,0.076843,-0.058655,-0.994141,-142,141,996,114,859708
0.048218,0.076355,-0.059387,-0.994141,-138,143,991,115,859717
0.036865,0.075806,-0.059998,-0.994629,-136,145,996,116,859725
0.037354,0.075134,-0.060547,-0.994629,-137,148,996,117,859734
0.038025,0.074463,-0.060974,-0.994629,-135,150,990,118,859742
0.038879,0.073730,-0.061340,-0.994629,-128,150,982,119,859750
0.039612,0.073120,-0.061584,-0.994629,-124,149,982,120,859758
0.040527,0.072449,-0.061768,-0.994629,-117,146,978,121,859767
0.041443,0.071838,-0.061890,-0.994629,-113,141,976,122,859775
0.042786,0.071045,-0.061890,-0.994629,-109,137,980,123,859784
0.030884,0.070374,-0.061890,-0.995117,-106,132,976,124,859791
0.032104,0.069763,-0.061951,-0.995117,-106,130,971,125,859800
0.033142,0.069214,-0.062012,-0.995117,-110,130,981,126,859808
0.033997,0.068726,-0.062134,-0.995117,-110,130,988,127,859817
0.034912,0.068176,-0.062195,-0.995117,-106,128,988,128,859825
0.035950,0.067627,-0.062256,-0.995117,-101,124,991,129,859834
0.037048,0.067017,-0.062256,-0.995117,-101,120,990,130,859842
0.037903,0.066528,-0.062256,-0.995117,-98,118,978,131,859851
0.038330,0.066284,-0.062256,-0.995117,-100,118,981,132,859859
0.022583,0.066162,-0.062256,-0.995605,-104,123,989,133,859868
0.022522,0.066162,-0.062317,-0.995605,-110,125,994,134,859875
0.022339,0.066284,-0.062256,-0.995605,-110,125,988,135,859884
0.021851,0.066528,-0.062134,-0.995605,-106,124,990,136,859892
0.021423,0.066833,-0.061951,-0.995605,-107,125,992,137,859901
0.021118,0.067200,-0.061707,-0.995605,-102,124,988,138,859909
0.020874,0.067566,-0.061340,-0.995605,-104,126,987,139,859917
0.019470,0.068237,-0.061096,-0.995605,-113,129,969,140,859925
0.018250,0.068909,-0.060730,-0.995605,-119,127,960,141,859934
0.015686,0.069824,-0.060364,-0.995605,-123,126,939,142,859943
0.012878,0.070740,-0.059998,-0.995605,-120,121,933,143,859951
0.006042,0.071899,-0.059692,-0.995605,-123,119,924,144,859959
0.029114,0.073181,-0.059448,-0.995117,-128,119,927,145,859967
0.026428,0.074402,-0.059204,-0.995117,-136,117,923,146,859976
0.023926,0.075439,-0.058960,-0.995117,-146,119,926,147,859984
0.019836,0.076721,-0.058838,-0.995117,-156,119,919,148,859993
0.013977,0.078064,-0.058716,-0.995117,-160,120,923,149,860000
0.000000,0.079346,-0.058594,-0.995056,-170,123,915,150,860009
0.000000,0.080261,-0.058533,-0.994995,-167,122,919,151,860018
0.000000,0.081604,-0.058716,-0.994873,-177,128,930,152,860026
0.020325,0.082642,-0.058899,-0.994629,-176,131,945,153,860035
0.012817,0.083923,-0.059204,-0.994629,-180,138,951,154,860043
0.000000,0.084839,-0.059448,-0.994568,-184,142,969,155,860051
0.000000,0.085754,-0.059753,-0.994507,-182,146,968,156,860060
0.000000,0.086670,-0.060120,-0.994385,-182,152,975,157,860068
0.000000,0.087463,-0.060547,-0.994263,-184,160,989,158,860077
0.014709,0.088074,-0.060913,-0.994141,-190,167,997,159,860084
0.010559,0.088501,-0.061157,-0.994141,-196,175,998,160,860093
0.004089,0.088867,-0.061401,-0.994141,-191,174,992,161,860101
0.000000,0.088989,-0.061584,-0.994080,-191,173,994,162,860110
0.000000,0.088989,-0.061707,-0.994080,-185,164,992,163,860118
0.000000,0.088806,-0.061768,-0.994080,-177,165,981,164,860126
0.008545,0.088440,-0.061523,-0.994141,-161,148,988,165,860134
